	['Date', 'Cash', 'Stock']
144	['2018-05-29' 6650.0 492840.0]
145	['2018-05-30' 6800.0 492840.0]
146	['2018-05-31' 6850.0 492840.0]
147	['2018-06-01' 6850.0 546710.0]
148	['2018-06-02' 6850.0 546710.0]
149	['2018-06-03' 6850.0 546710.0]
150	['2018-06-04' 6900.0 546710.0]
151	['2018-06-05' 6800.0 546710.0]
152	['2018-06-06' 6750.0 546710.0]
153	['2018-06-07' 6720.0 546710.0]
154	['2018-06-08' 6680.0 545920.0]
155	['2018-06-09' 6680.0 545920.0]
156	['2018-06-10' 6680.0 545920.0]
157	['2018-06-11' 6650.0 545920.0]
158	['2018-06-12' 6650.0 545920.0]
159	['2018-06-13' 6600.0 545920.0]
160	['2018-06-14' 6650.0 545920.0]
161	['2018-06-15' 6670.0 582480.0]
162	['2018-06-16' 6670.0 582480.0]
163	['2018-06-17' 6670.0 582480.0]
164	['2018-06-18' 6670.0 582480.0]
165	['2018-06-19' 6670.0 582480.0]
166	['2018-06-20' 6470.0 582480.0]
167	['2018-06-21' 6500.0 582480.0]
168	['2018-06-22' 6470.0 600100.0]
169	['2018-06-23' 6470.0 600100.0]
170	['2018-06-24' 6470.0 600100.0]
171	['2018-06-25' 6470.0 600100.0]
172	['2018-06-26' 6450.0 600100.0]
173	['2018-06-27' 6450.0 600100.0]
174	['2018-06-28' 6450.0 600100.0]
175	['2018-06-29' 6450.0 600080.0]
176	['2018-06-30' 6450.0 600080.0]
177	['2018-07-01' 6450.0 600080.0]
178	['2018-07-02' 6450.0 600080.0]
179	['2018-07-03' 6450.0 600080.0]
180	['2018-07-04' 6450.0 600080.0]
181	['2018-07-05' 6450.0 600080.0]
182	['2018-07-06' 6450.0 620870.0]
183	['2018-07-07' 6450.0 620870.0]
184	['2018-07-08' 6450.0 620870.0]
185	['2018-07-09' 6450.0 620870.0]
186	['2018-07-10' 6450.0 620870.0]
187	['2018-07-11' 6430.0 620870.0]
188	['2018-07-12' 6380.0 620870.0]
189	['2018-07-13' 6330.0 610020.0]
190	['2018-07-14' 6330.0 610020.0]
191	['2018-07-15' 6330.0 610020.0]
192	['2018-07-16' 6330.0 610020.0]
193	['2018-07-17' 6330.0 610020.0]
194	['2018-07-18' 6330.0 610020.0]
195	['2018-07-19' 6330.0 610020.0]
196	['2018-07-20' 6330.0 668570.0]
197	['2018-07-21' 6330.0 668570.0]
198	['2018-07-22' 6330.0 668570.0]
199	['2018-07-23' 6330.0 668570.0]
200	['2018-07-24' 6310.0 668570.0]
201	['2018-07-25' 6310.0 668570.0]
202	['2018-07-26' 6340.0 668570.0]
203	['2018-07-27' 6340.0 661720.0]
204	['2018-07-28' 6340.0 661720.0]
205	['2018-07-29' 6340.0 661720.0]
206	['2018-07-30' 6340.0 661720.0]
207	['2018-07-31' 6340.0 661720.0]
208	['2018-08-01' 6340.0 661720.0]
209	['2018-08-02' 6340.0 661720.0]
210	['2018-08-03' 6300.0 659120.0]
211	['2018-08-04' 6300.0 659120.0]
212	['2018-08-05' 6300.0 659120.0]
213	['2018-08-06' 6300.0 659120.0]
214	['2018-08-07' 6320.0 659120.0]
215	['2018-08-08' 6350.0 659120.0]
216	['2018-08-09' 6380.0 659120.0]
217	['2018-08-10' 6400.0 678210.0]
218	['2018-08-11' 6400.0 678210.0]
219	['2018-08-12' 6400.0 678210.0]
220	['2018-08-13' 6350.0 678210.0]
221	['2018-08-14' 6380.0 678210.0]
222	['2018-08-15' 6400.0 678210.0]
223	['2018-08-16' 6370.0 678210.0]
224	['2018-08-17' 6500.0 702890.0]
225	['2018-08-18' 6500.0 702890.0]
226	['2018-08-19' 6500.0 702890.0]
227	['2018-08-20' 6550.0 702890.0]
228	['2018-08-21' 6550.0 702890.0]
229	['2018-08-22' 6600.0 702890.0]
230	['2018-08-23' 6600.0 702890.0]
231	['2018-08-24' 6600.0 718120.0]
232	['2018-08-25' 6600.0 718120.0]
233	['2018-08-26' 6600.0 718120.0]
234	['2018-08-27' 6550.0 718120.0]
235	['2018-08-28' 6520.0 718120.0]
236	['2018-08-29' 6520.0 718120.0]
237	['2018-08-30' 6520.0 718120.0]
238	['2018-08-31' 6520.0 711370.0]
239	['2018-09-01' 6520.0 711370.0]
240	['2018-09-02' 6520.0 711370.0]
241	['2018-09-03' 6520.0 711370.0]
242	['2018-09-04' 6580.0 711370.0]
243	['2018-09-05' 6600.0 711370.0]
244	['2018-09-06' 6600.0 711370.0]
245	['2018-09-07' 6600.0 701900.0]
246	['2018-09-08' 6600.0 701900.0]
247	['2018-09-09' 6600.0 701900.0]
248	['2018-09-10' 6620.0 701900.0]
249	['2018-09-11' 6620.0 701900.0]
250	['2018-09-12' 6620.0 701900.0]
251	['2018-09-13' 6620.0 701900.0]
252	['2018-09-14' 6620.0 698620.0]
253	['2018-09-15' 6620.0 698620.0]
254	['2018-09-16' 6620.0 698620.0]
255	['2018-09-17' 6620.0 698620.0]
256	['2018-09-18' 6620.0 698620.0]
257	['2018-09-19' 6580.0 698620.0]
