	['Date', 'Cash', 'Stock']
633	['2019-09-30' 7320.0 579650.0]
634	['2019-10-01' 7320.0 579650.0]
635	['2019-10-02' 7320.0 579650.0]
636	['2019-10-03' 7320.0 579650.0]
637	['2019-10-04' 7320.0 612820.0]
638	['2019-10-05' 7320.0 612820.0]
639	['2019-10-06' 7320.0 612820.0]
640	['2019-10-07' 7320.0 612820.0]
641	['2019-10-08' 7350.0 612820.0]
642	['2019-10-09' 7450.0 612820.0]
643	['2019-10-10' 7490.0 612820.0]
644	['2019-10-11' 7520.0 633480.0]
645	['2019-10-12' 7520.0 633480.0]
646	['2019-10-13' 7520.0 633480.0]
647	['2019-10-14' 7450.0 633480.0]
648	['2019-10-15' 7400.0 633480.0]
649	['2019-10-16' 7420.0 633480.0]
650	['2019-10-17' 7420.0 633480.0]
651	['2019-10-18' 7420.0 624490.0]
652	['2019-10-19' 7420.0 624490.0]
653	['2019-10-20' 7420.0 624490.0]
654	['2019-10-21' 7440.0 624490.0]
655	['2019-10-22' 7420.0 624490.0]
656	['2019-10-23' 7460.0 624490.0]
657	['2019-10-24' 7420.0 624490.0]
658	['2019-10-25' 7520.0 615070.0]
659	['2019-10-26' 7520.0 615070.0]
660	['2019-10-27' 7520.0 615070.0]
661	['2019-10-28' 7520.0 615070.0]
662	['2019-10-29' 7520.0 615070.0]
663	['2019-10-30' 7600.0 615070.0]
664	['2019-10-31' 7600.0 615070.0]
665	['2019-11-01' 7700.0 599030.0]
666	['2019-11-02' 7700.0 599030.0]
667	['2019-11-03' 7700.0 599030.0]
668	['2019-11-04' 7750.0 599030.0]
669	['2019-11-05' 7850.0 599030.0]
670	['2019-11-06' 7750.0 599030.0]
671	['2019-11-07' 7750.0 599030.0]
672	['2019-11-08' 7750.0 580340.0]
673	['2019-11-09' 7750.0 580340.0]
674	['2019-11-10' 7750.0 580340.0]
675	['2019-11-11' 7800.0 580340.0]
676	['2019-11-12' 7800.0 580340.0]
677	['2019-11-13' 7800.0 580340.0]
678	['2019-11-14' 7750.0 580340.0]
679	['2019-11-15' 7750.0 562100.0]
680	['2019-11-16' 7750.0 562100.0]
681	['2019-11-17' 7750.0 562100.0]
682	['2019-11-18' 7750.0 562100.0]
683	['2019-11-19' 7820.0 562100.0]
684	['2019-11-20' 7870.0 562100.0]
685	['2019-11-21' 7870.0 562100.0]
686	['2019-11-22' 7850.0 533380.0]
687	['2019-11-23' 7850.0 533380.0]
688	['2019-11-24' 7850.0 533380.0]
689	['2019-11-25' 7850.0 533380.0]
690	['2019-11-26' 7790.0 533380.0]
691	['2019-11-27' 7840.0 533380.0]
692	['2019-11-28' 7840.0 533380.0]
693	['2019-11-29' 7920.0 502100.0]
694	['2019-11-30' 7920.0 502100.0]
695	['2019-12-01' 7920.0 502100.0]
696	['2019-12-02' 7870.0 502100.0]
697	['2019-12-03' 7850.0 502100.0]
698	['2019-12-04' 7850.0 502100.0]
699	['2019-12-05' 7850.0 502100.0]
700	['2019-12-06' 7850.0 477370.0]
701	['2019-12-07' 7850.0 477370.0]
702	['2019-12-08' 7850.0 477370.0]
703	['2019-12-09' 7850.0 477370.0]
704	['2019-12-10' 7850.0 477370.0]
705	['2019-12-11' 7800.0 477370.0]
706	['2019-12-12' 7800.0 477370.0]
707	['2019-12-13' 7850.0 453960.0]
708	['2019-12-14' 7850.0 453960.0]
709	['2019-12-15' 7850.0 453960.0]
710	['2019-12-16' 7800.0 453960.0]
711	['2019-12-17' 7800.0 453960.0]
712	['2019-12-18' 7800.0 453960.0]
713	['2019-12-19' 7860.0 453960.0]
714	['2019-12-20' 7910.0 427640.0]
715	['2019-12-21' 7910.0 427640.0]
716	['2019-12-22' 7910.0 427640.0]
717	['2019-12-23' 7910.0 427640.0]
718	['2019-12-24' 7910.0 427640.0]
719	['2019-12-25' 7910.0 427640.0]
720	['2019-12-26' 7960.0 427640.0]
721	['2019-12-27' 8060.0 408650.0]
722	['2019-12-28' 8060.0 408650.0]
723	['2019-12-29' 8060.0 408650.0]
724	['2019-12-30' 8060.0 408650.0]
725	['2019-12-31' 8060.0 408650.0]
726	['2020-01-01' 8060.0 408650.0]
727	['2020-01-02' 8060.0 408650.0]
728	['2020-01-03' 8140.0 368340.0]
729	['2020-01-04' 8140.0 368340.0]
730	['2020-01-05' 8140.0 368340.0]
731	['2020-01-06' 8140.0 368340.0]
732	['2020-01-07' 8140.0 368340.0]
733	['2020-01-08' 8140.0 368340.0]
734	['2020-01-09' 8190.0 368340.0]
735	['2020-01-10' 8190.0 336330.0]
736	['2020-01-11' 8190.0 336330.0]
737	['2020-01-12' 8190.0 336330.0]
738	['2020-01-13' 8190.0 336330.0]
739	['2020-01-14' 8190.0 336330.0]
740	['2020-01-15' 8140.0 336330.0]
741	['2020-01-16' 8140.0 336330.0]
742	['2020-01-17' 8140.0 302400.0]
743	['2020-01-18' 8140.0 302400.0]
744	['2020-01-19' 8140.0 302400.0]
745	['2020-01-20' 8140.0 302400.0]
746	['2020-01-21' 8090.0 302400.0]
747	['2020-01-22' 8090.0 302400.0]
748	['2020-01-23' 8090.0 302400.0]
749	['2020-01-24' 8090.0 316502.0]
750	['2020-01-25' 8090.0 316502.0]
751	['2020-01-26' 8090.0 316502.0]
752	['2020-01-27' 8090.0 316502.0]
753	['2020-01-28' 8090.0 316502.0]
754	['2020-01-29' 8090.0 316502.0]
755	['2020-01-30' 8090.0 316502.0]
756	['2020-01-31' 8090.0 320002.0]
757	['2020-02-01' 8090.0 320002.0]
758	['2020-02-02' 8090.0 320002.0]
759	['2020-02-03' 7790.0 320002.0]
760	['2020-02-04' 7790.0 320002.0]
761	['2020-02-05' 7890.0 320002.0]
762	['2020-02-06' 7990.0 320002.0]
763	['2020-02-07' 8050.0 339300.0]
764	['2020-02-08' 8050.0 339300.0]
765	['2020-02-09' 8050.0 339300.0]
766	['2020-02-10' 8150.0 339300.0]
767	['2020-02-11' 8150.0 339300.0]
768	['2020-02-12' 8050.0 339300.0]
769	['2020-02-13' 8050.0 339300.0]
770	['2020-02-14' 8050.0 332840.0]
771	['2020-02-15' 8050.0 332840.0]
772	['2020-02-16' 8050.0 332840.0]
773	['2020-02-17' 8150.0 332840.0]
774	['2020-02-18' 8200.0 332840.0]
775	['2020-02-19' 8200.0 332840.0]
776	['2020-02-20' 8120.0 332840.0]
777	['2020-02-21' 8120.0 341770.0]
778	['2020-02-22' 8120.0 341770.0]
779	['2020-02-23' 8120.0 341770.0]
780	['2020-02-24' 8120.0 341770.0]
781	['2020-02-25' 8120.0 341770.0]
782	['2020-02-26' 8120.0 341770.0]
783	['2020-02-27' 8120.0 341770.0]
784	['2020-02-28' 7920.0 338180.0]
785	['2020-02-29' 7920.0 338180.0]
786	['2020-03-01' 7920.0 338180.0]
787	['2020-03-02' 7920.0 338180.0]
788	['2020-03-03' 7880.0 338180.0]
789	['2020-03-04' 7850.0 338180.0]
790	['2020-03-05' 7900.0 338180.0]
791	['2020-03-06' 7850.0 349970.0]
792	['2020-03-07' 7850.0 349970.0]
793	['2020-03-08' 7850.0 349970.0]
794	['2020-03-09' 7650.0 349970.0]
795	['2020-03-10' 7750.0 349970.0]
796	['2020-03-11' 7650.0 349970.0]
797	['2020-03-12' 7450.0 349970.0]
798	['2020-03-13' 7350.0 356000.0]
799	['2020-03-14' 7350.0 356000.0]
800	['2020-03-15' 7350.0 356000.0]
801	['2020-03-16' 7300.0 356000.0]
802	['2020-03-17' 7300.0 356000.0]
803	['2020-03-18' 7250.0 356000.0]
804	['2020-03-19' 7150.0 356000.0]
805	['2020-03-20' 7200.0 360700.0]
806	['2020-03-21' 7200.0 360700.0]
807	['2020-03-22' 7200.0 360700.0]
808	['2020-03-23' 7200.0 360700.0]
809	['2020-03-24' 7200.0 360700.0]
810	['2020-03-25' 7260.0 360700.0]
811	['2020-03-26' 7200.0 360700.0]
812	['2020-03-27' 7300.0 326850.0]
813	['2020-03-28' 7300.0 326850.0]
814	['2020-03-29' 7300.0 326850.0]
815	['2020-03-30' 7400.0 326850.0]
816	['2020-03-31' 7300.0 326850.0]
817	['2020-04-01' 7100.0 326850.0]
818	['2020-04-02' 7100.0 326850.0]
819	['2020-04-03' 7100.0 295800.0]
820	['2020-04-04' 7100.0 295800.0]
821	['2020-04-05' 7100.0 295800.0]
822	['2020-04-06' 7100.0 295800.0]
823	['2020-04-07' 7200.0 295800.0]
824	['2020-04-08' 7200.0 295800.0]
825	['2020-04-09' 7300.0 295800.0]
826	['2020-04-10' 7300.0 276270.0]
827	['2020-04-11' 7300.0 276270.0]
828	['2020-04-12' 7300.0 276270.0]
829	['2020-04-13' 7300.0 276270.0]
830	['2020-04-14' 7200.0 276270.0]
831	['2020-04-15' 7200.0 276270.0]
832	['2020-04-16' 7200.0 276270.0]
833	['2020-04-17' 7200.0 224930.0]
834	['2020-04-18' 7200.0 224930.0]
835	['2020-04-19' 7200.0 224930.0]
836	['2020-04-20' 7200.0 224930.0]
837	['2020-04-21' 7100.0 224930.0]
838	['2020-04-22' 7100.0 224930.0]
839	['2020-04-23' 7160.0 224930.0]
840	['2020-04-24' 7160.0 207950.0]
841	['2020-04-25' 7160.0 207950.0]
842	['2020-04-26' 7160.0 207950.0]
843	['2020-04-27' 7160.0 207950.0]
844	['2020-04-28' 7210.0 207950.0]
845	['2020-04-29' 7210.0 207950.0]
846	['2020-04-30' 7210.0 207950.0]
847	['2020-05-01' 7210.0 219760.0]
848	['2020-05-02' 7210.0 219760.0]
849	['2020-05-03' 7210.0 219760.0]
850	['2020-05-04' 7210.0 219760.0]
851	['2020-05-05' 7210.0 219760.0]
852	['2020-05-06' 7210.0 219760.0]
853	['2020-05-07' 7260.0 219760.0]
854	['2020-05-08' 7260.0 215280.0]
855	['2020-05-09' 7260.0 215280.0]
856	['2020-05-10' 7260.0 215280.0]
857	['2020-05-11' 7260.0 215280.0]
858	['2020-05-12' 7220.0 215280.0]
859	['2020-05-13' 7270.0 215280.0]
860	['2020-05-14' 7270.0 215280.0]
861	['2020-05-15' 7270.0 207740.0]
862	['2020-05-16' 7270.0 207740.0]
863	['2020-05-17' 7270.0 207740.0]
864	['2020-05-18' 7320.0 207740.0]
865	['2020-05-19' 7320.0 207740.0]
866	['2020-05-20' 7320.0 207740.0]
867	['2020-05-21' 7320.0 207740.0]
868	['2020-05-22' 7270.0 212700.0]
869	['2020-05-23' 7270.0 212700.0]
870	['2020-05-24' 7270.0 212700.0]
871	['2020-05-25' 7320.0 212700.0]
872	['2020-05-26' 7320.0 212700.0]
873	['2020-05-27' 7320.0 212700.0]
874	['2020-05-28' 7520.0 212700.0]
875	['2020-05-29' 7550.0 222690.0]
876	['2020-05-30' 7550.0 222690.0]
877	['2020-05-31' 7550.0 222690.0]
878	['2020-06-01' 7600.0 222690.0]
879	['2020-06-02' 7600.0 222690.0]
880	['2020-06-03' 7650.0 222690.0]
881	['2020-06-04' 7670.0 222690.0]
882	['2020-06-05' 7670.0 202150.0]
883	['2020-06-06' 7670.0 202150.0]
884	['2020-06-07' 7670.0 202150.0]
885	['2020-06-08' 7670.0 202150.0]
886	['2020-06-09' 7770.0 202150.0]
887	['2020-06-10' 7770.0 202150.0]
888	['2020-06-11' 7770.0 202150.0]
889	['2020-06-12' 7800.0 204890.0]
890	['2020-06-13' 7800.0 204890.0]
891	['2020-06-14' 7800.0 204890.0]
892	['2020-06-15' 7900.0 204890.0]
893	['2020-06-16' 7900.0 204890.0]
894	['2020-06-17' 7900.0 204890.0]
895	['2020-06-18' 7950.0 204890.0]
896	['2020-06-19' 8000.0 217710.0]
897	['2020-06-20' 8000.0 217710.0]
898	['2020-06-21' 8000.0 217710.0]
899	['2020-06-22' 8000.0 217710.0]
900	['2020-06-23' 8000.0 217710.0]
901	['2020-06-24' 8000.0 217710.0]
902	['2020-06-25' 8000.0 217710.0]
903	['2020-06-26' 8000.0 229040.0]
904	['2020-06-27' 8000.0 229040.0]
905	['2020-06-28' 8000.0 229040.0]
906	['2020-06-29' 7950.0 229040.0]
907	['2020-06-30' 7920.0 229040.0]
908	['2020-07-01' 7950.0 229040.0]
909	['2020-07-02' 7950.0 229040.0]
910	['2020-07-03' 8000.0 231580.0]
911	['2020-07-04' 8000.0 231580.0]
912	['2020-07-05' 8000.0 231580.0]
913	['2020-07-06' 8100.0 231580.0]
914	['2020-07-07' 8100.0 231580.0]
915	['2020-07-08' 8100.0 231580.0]
916	['2020-07-09' 8120.0 231580.0]
917	['2020-07-10' 8120.0 237670.0]
918	['2020-07-11' 8120.0 237670.0]
919	['2020-07-12' 8120.0 237670.0]
920	['2020-07-13' 8250.0 237670.0]
921	['2020-07-14' 8350.0 237670.0]
922	['2020-07-15' 8400.0 237670.0]
923	['2020-07-16' 8420.0 237670.0]
924	['2020-07-17' 8670.0 255850.0]
925	['2020-07-18' 8670.0 255850.0]
926	['2020-07-19' 8670.0 255850.0]
927	['2020-07-20' 9020.0 255850.0]
928	['2020-07-21' 9020.0 255850.0]
929	['2020-07-22' 9220.0 255850.0]
930	['2020-07-23' 8920.0 255850.0]
931	['2020-07-24' 8850.0 261060.0]
932	['2020-07-25' 8850.0 261060.0]
933	['2020-07-26' 8850.0 261060.0]
934	['2020-07-27' 8820.0 261060.0]
935	['2020-07-28' 8870.0 261060.0]
936	['2020-07-29' 8920.0 261060.0]
937	['2020-07-30' 8920.0 261060.0]
938	['2020-07-31' 8950.0 253040.0]
939	['2020-08-01' 8950.0 253040.0]
940	['2020-08-02' 8950.0 253040.0]
941	['2020-08-03' 9150.0 253040.0]
942	['2020-08-04' 9200.0 253040.0]
943	['2020-08-05' 9250.0 253040.0]
944	['2020-08-06' 9350.0 253040.0]
945	['2020-08-07' 9400.0 238420.0]
946	['2020-08-08' 9400.0 238420.0]
947	['2020-08-09' 9400.0 238420.0]
948	['2020-08-10' 9100.0 238420.0]
949	['2020-08-11' 9000.0 238420.0]
950	['2020-08-12' 9000.0 238420.0]
951	['2020-08-13' 9150.0 238420.0]
952	['2020-08-14' 9150.0 235790.0]
953	['2020-08-15' 9150.0 235790.0]
954	['2020-08-16' 9150.0 235790.0]
955	['2020-08-17' 9300.0 235790.0]
956	['2020-08-18' 9300.0 235790.0]
957	['2020-08-19' 9300.0 235790.0]
958	['2020-08-20' 9200.0 235790.0]
959	['2020-08-21' 9200.0 243650.0]
960	['2020-08-22' 9200.0 243650.0]
961	['2020-08-23' 9200.0 243650.0]
962	['2020-08-24' 9150.0 243650.0]
963	['2020-08-25' 9100.0 243650.0]
964	['2020-08-26' 9000.0 243650.0]
965	['2020-08-27' 9000.0 243650.0]
966	['2020-08-28' 9100.0 257000.0]
967	['2020-08-29' 9100.0 257000.0]
968	['2020-08-30' 9100.0 257000.0]
969	['2020-08-31' 9100.0 257000.0]
970	['2020-09-01' 9200.0 257000.0]
971	['2020-09-02' 9200.0 257000.0]
972	['2020-09-03' 9200.0 257000.0]
973	['2020-09-04' 9200.0 264010.0]
974	['2020-09-05' 9200.0 264010.0]
975	['2020-09-06' 9200.0 264010.0]
976	['2020-09-07' 9200.0 264010.0]
977	['2020-09-08' 9200.0 264010.0]
978	['2020-09-09' 9200.0 264010.0]
979	['2020-09-10' 9150.0 264010.0]
980	['2020-09-11' 9150.0 271720.0]
981	['2020-09-12' 9150.0 271720.0]
982	['2020-09-13' 9150.0 271720.0]
983	['2020-09-14' 9250.0 271720.0]
984	['2020-09-15' 9250.0 271720.0]
985	['2020-09-16' 9250.0 271720.0]
986	['2020-09-17' 9400.0 271720.0]
987	['2020-09-18' 9600.0 254300.0]
988	['2020-09-19' 9600.0 254300.0]
989	['2020-09-20' 9600.0 254300.0]
990	['2020-09-21' 9800.0 254300.0]
991	['2020-09-22' 9800.0 254300.0]
992	['2020-09-23' 9650.0 254300.0]
993	['2020-09-24' 9450.0 254300.0]
994	['2020-09-25' 9450.0 242590.0]
995	['2020-09-26' 9450.0 242590.0]
996	['2020-09-27' 9450.0 242590.0]
997	['2020-09-28' 9450.0 242590.0]
998	['2020-09-29' 9450.0 242590.0]
999	['2020-09-30' 9350.0 242590.0]
1000	['2020-10-01' 9350.0 242590.0]
1001	['2020-10-02' 9350.0 235490.0]
1002	['2020-10-03' 9350.0 235490.0]
1003	['2020-10-04' 9350.0 235490.0]
1004	['2020-10-05' 9350.0 235490.0]
1005	['2020-10-06' 9350.0 235490.0]
1006	['2020-10-07' 9350.0 235490.0]
1007	['2020-10-08' 9350.0 235490.0]
1008	['2020-10-09' 9600.0 236100.0]
1009	['2020-10-10' 9600.0 236100.0]
1010	['2020-10-11' 9600.0 236100.0]
1011	['2020-10-12' 9750.0 236100.0]
1012	['2020-10-13' 9750.0 236100.0]
1013	['2020-10-14' 9750.0 236100.0]
1014	['2020-10-15' 9700.0 236100.0]
1015	['2020-10-16' 9750.0 330780.0]
1016	['2020-10-17' 9750.0 330780.0]
1017	['2020-10-18' 9750.0 330780.0]
1018	['2020-10-19' 9650.0 330780.0]
1019	['2020-10-20' 9650.0 330780.0]
1020	['2020-10-21' 9700.0 330780.0]
1021	['2020-10-22' 9730.0 330780.0]
1022	['2020-10-23' 9800.0 317740.0]
1023	['2020-10-24' 9800.0 317740.0]
1024	['2020-10-25' 9800.0 317740.0]
1025	['2020-10-26' 9880.0 317740.0]
1026	['2020-10-27' 9880.0 317740.0]
1027	['2020-10-28' 9880.0 317740.0]
1028	['2020-10-29' 10000.0 317740.0]
1029	['2020-10-30' 10150.0 289680.0]
1030	['2020-10-31' 10150.0 289680.0]
1031	['2020-11-01' 10150.0 289680.0]
1032	['2020-11-02' 10200.0 289680.0]
1033	['2020-11-03' 10250.0 289680.0]
1034	['2020-11-04' 10400.0 289680.0]
1035	['2020-11-05' 10350.0 289680.0]
1036	['2020-11-06' 10350.0 272120.0]
1037	['2020-11-07' 10350.0 272120.0]
1038	['2020-11-08' 10350.0 272120.0]
1039	['2020-11-09' 10150.0 272120.0]
1040	['2020-11-10' 10150.0 272120.0]
1041	['2020-11-11' 10200.0 272120.0]
1042	['2020-11-12' 10250.0 272120.0]
1043	['2020-11-13' 10250.0 240990.0]
1044	['2020-11-14' 10250.0 240990.0]
1045	['2020-11-15' 10250.0 240990.0]
1046	['2020-11-16' 10250.0 240990.0]
1047	['2020-11-17' 10300.0 240990.0]
1048	['2020-11-18' 10400.0 240990.0]
1049	['2020-11-19' 10550.0 240990.0]
1050	['2020-11-20' 10400.0 228260.0]
1051	['2020-11-21' 10400.0 228260.0]
1052	['2020-11-22' 10400.0 228260.0]
1053	['2020-11-23' 10300.0 228260.0]
1054	['2020-11-24' 10250.0 228260.0]
1055	['2020-11-25' 10350.0 228260.0]
1056	['2020-11-26' 10350.0 228260.0]
1057	['2020-11-27' 10200.0 213510.0]
1058	['2020-11-28' 10200.0 213510.0]
1059	['2020-11-29' 10200.0 213510.0]
1060	['2020-11-30' 10100.0 213510.0]
1061	['2020-12-01' 10100.0 213510.0]
1062	['2020-12-02' 10050.0 213510.0]
1063	['2020-12-03' 10150.0 213510.0]
1064	['2020-12-04' 10150.0 209650.0]
1065	['2020-12-05' 10150.0 209650.0]
1066	['2020-12-06' 10150.0 209650.0]
1067	['2020-12-07' 10200.0 209650.0]
1068	['2020-12-08' 10000.0 209650.0]
1069	['2020-12-09' 10000.0 209650.0]
1070	['2020-12-10' 9900.0 209650.0]
1071	['2020-12-11' 10000.0 185330.0]
1072	['2020-12-12' 10000.0 185330.0]
1073	['2020-12-13' 10000.0 185330.0]
1074	['2020-12-14' 10000.0 185330.0]
1075	['2020-12-15' 10000.0 185330.0]
1076	['2020-12-16' 10050.0 185330.0]
1077	['2020-12-17' 10100.0 185330.0]
1078	['2020-12-18' 10100.0 189860.0]
1079	['2020-12-19' 10100.0 189860.0]
1080	['2020-12-20' 10100.0 189860.0]
1081	['2020-12-21' 10100.0 189860.0]
1082	['2020-12-22' 9900.0 189860.0]
1083	['2020-12-23' 9950.0 189860.0]
1084	['2020-12-24' 10200.0 189860.0]
1085	['2020-12-25' 10200.0 172760.0]
1086	['2020-12-26' 10200.0 172760.0]
1087	['2020-12-27' 10200.0 172760.0]
1088	['2020-12-28' 10200.0 172760.0]
1089	['2020-12-29' 10100.0 172760.0]
1090	['2020-12-30' 10200.0 172760.0]
1091	['2020-12-31' 10250.0 172760.0]
1092	['2021-01-01' 10250.0 154330.0]
1093	['2021-01-02' 10250.0 154330.0]
1094	['2021-01-03' 10250.0 154330.0]
1095	['2021-01-04' 10500.0 154330.0]
1096	['2021-01-05' 10500.0 154330.0]
1097	['2021-01-06' 10600.0 154330.0]
1098	['2021-01-07' 10650.0 154330.0]
1099	['2021-01-08' 10700.0 191850.0]
1100	['2021-01-09' 10700.0 191850.0]
1101	['2021-01-10' 10700.0 191850.0]
1102	['2021-01-11' 10700.0 191850.0]
1103	['2021-01-12' 10800.0 191850.0]
1104	['2021-01-13' 10800.0 191850.0]
1105	['2021-01-14' 10650.0 191850.0]
1106	['2021-01-15' 10550.0 169560.0]
1107	['2021-01-16' 10550.0 169560.0]
1108	['2021-01-17' 10550.0 169560.0]
1109	['2021-01-18' 10600.0 169560.0]
1110	['2021-01-19' 10600.0 169560.0]
1111	['2021-01-20' 10400.0 169560.0]
1112	['2021-01-21' 10500.0 169560.0]
1113	['2021-01-22' 10500.0 177080.0]
1114	['2021-01-23' 10500.0 177080.0]
1115	['2021-01-24' 10500.0 177080.0]
1116	['2021-01-25' 10500.0 177080.0]
1117	['2021-01-26' 10450.0 177080.0]
1118	['2021-01-27' 10600.0 177080.0]
1119	['2021-01-28' 10600.0 177080.0]
1120	['2021-01-29' 10600.0 199030.0]
1121	['2021-01-30' 10600.0 199030.0]
1122	['2021-01-31' 10600.0 199030.0]
1123	['2021-02-01' 10500.0 199030.0]
1124	['2021-02-02' 10400.0 199030.0]
1125	['2021-02-03' 10150.0 199030.0]
1126	['2021-02-04' 10150.0 199030.0]
1127	['2021-02-05' 10350.0 198920.0]
1128	['2021-02-06' 10350.0 198920.0]
1129	['2021-02-07' 10350.0 198920.0]
1130	['2021-02-08' 10350.0 198920.0]
1131	['2021-02-09' 10500.0 198920.0]
1132	['2021-02-10' 10500.0 198920.0]
1133	['2021-02-11' 10500.0 198920.0]
1134	['2021-02-12' 10500.0 204000.0]
1135	['2021-02-13' 10500.0 204000.0]
1136	['2021-02-14' 10500.0 204000.0]
1137	['2021-02-15' 10500.0 204000.0]
1138	['2021-02-16' 10500.0 204000.0]
1139	['2021-02-17' 10500.0 204000.0]
1140	['2021-02-18' 10750.0 204000.0]
1141	['2021-02-19' 10800.0 252090.0]
1142	['2021-02-20' 10800.0 252090.0]
1143	['2021-02-21' 10800.0 252090.0]
1144	['2021-02-22' 10850.0 252090.0]
1145	['2021-02-23' 10920.0 252090.0]
1146	['2021-02-24' 11000.0 252090.0]
1147	['2021-02-25' 11150.0 252090.0]
1148	['2021-02-26' 11050.0 224260.0]
1149	['2021-02-27' 11050.0 224260.0]
1150	['2021-02-28' 11050.0 224260.0]
1151	['2021-03-01' 11100.0 224260.0]
1152	['2021-03-02' 11000.0 224260.0]
1153	['2021-03-03' 10950.0 224260.0]
1154	['2021-03-04' 11080.0 224260.0]
1155	['2021-03-05' 11080.0 201700.0]
1156	['2021-03-06' 11080.0 201700.0]
1157	['2021-03-07' 11080.0 201700.0]
1158	['2021-03-08' 11540.0 201700.0]
1159	['2021-03-09' 11600.0 201700.0]
1160	['2021-03-10' 11350.0 201700.0]
1161	['2021-03-11' 11200.0 201700.0]
1162	['2021-03-12' 11200.0 252560.0]
1163	['2021-03-13' 11200.0 252560.0]
1164	['2021-03-14' 11200.0 252560.0]
1165	['2021-03-15' 11200.0 252560.0]
1166	['2021-03-16' 11100.0 252560.0]
1167	['2021-03-17' 10950.0 252560.0]
1168	['2021-03-18' 10650.0 252560.0]
1169	['2021-03-19' 10650.0 234790.0]
1170	['2021-03-20' 10650.0 234790.0]
1171	['2021-03-21' 10650.0 234790.0]
1172	['2021-03-22' 10700.0 234790.0]
1173	['2021-03-23' 10950.0 234790.0]
1174	['2021-03-24' 11050.0 234790.0]
1175	['2021-03-25' 11000.0 234790.0]
1176	['2021-03-26' 10500.0 251510.0]
1177	['2021-03-27' 10500.0 251510.0]
1178	['2021-03-28' 10500.0 251510.0]
1179	['2021-03-29' 10450.0 251510.0]
1180	['2021-03-30' 10450.0 251510.0]
1181	['2021-03-31' 10450.0 251510.0]
1182	['2021-04-01' 10650.0 251510.0]
1183	['2021-04-02' 10650.0 283030.0]
1184	['2021-04-03' 10650.0 283030.0]
1185	['2021-04-04' 10650.0 283030.0]
1186	['2021-04-05' 10650.0 283030.0]
1187	['2021-04-06' 10850.0 283030.0]
1188	['2021-04-07' 10900.0 283030.0]
1189	['2021-04-08' 10850.0 283030.0]
1190	['2021-04-09' 10850.0 267850.0]
1191	['2021-04-10' 10850.0 267850.0]
1192	['2021-04-11' 10850.0 267850.0]
1193	['2021-04-12' 10750.0 267850.0]
1194	['2021-04-13' 10800.0 267850.0]
1195	['2021-04-14' 10900.0 267850.0]
1196	['2021-04-15' 10850.0 267850.0]
1197	['2021-04-16' 10850.0 265460.0]
1198	['2021-04-17' 10850.0 265460.0]
1199	['2021-04-18' 10850.0 265460.0]
1200	['2021-04-19' 10800.0 265460.0]
1201	['2021-04-20' 10800.0 265460.0]
1202	['2021-04-21' 11000.0 265460.0]
1203	['2021-04-22' 11100.0 265460.0]
1204	['2021-04-23' 11200.0 282370.0]
1205	['2021-04-24' 11200.0 282370.0]
1206	['2021-04-25' 11200.0 282370.0]
1207	['2021-04-26' 11080.0 282370.0]
1208	['2021-04-27' 11130.0 282370.0]
1209	['2021-04-28' 11030.0 282370.0]
1210	['2021-04-29' 11030.0 282370.0]
1211	['2021-04-30' 10930.0 268270.0]
1212	['2021-05-01' 10930.0 268270.0]
1213	['2021-05-02' 10930.0 268270.0]
1214	['2021-05-03' 10930.0 268270.0]
1215	['2021-05-04' 10930.0 268270.0]
1216	['2021-05-05' 10930.0 268270.0]
1217	['2021-05-06' 11300.0 268270.0]
1218	['2021-05-07' 11400.0 308570.0]
1219	['2021-05-08' 11400.0 308570.0]
1220	['2021-05-09' 11400.0 308570.0]
1221	['2021-05-10' 11350.0 308570.0]
1222	['2021-05-11' 11250.0 308570.0]
1223	['2021-05-12' 11450.0 308570.0]
1224	['2021-05-13' 11400.0 308570.0]
1225	['2021-05-14' 11150.0 334820.0]
1226	['2021-05-15' 11150.0 334820.0]
1227	['2021-05-16' 11150.0 334820.0]
1228	['2021-05-17' 11050.0 334820.0]
1229	['2021-05-18' 11100.0 334820.0]
1230	['2021-05-19' 11050.0 334820.0]
1231	['2021-05-20' 10950.0 334820.0]
1232	['2021-05-21' 10700.0 334120.0]
1233	['2021-05-22' 10700.0 334120.0]
1234	['2021-05-23' 10700.0 334120.0]
1235	['2021-05-24' 10750.0 334120.0]
1236	['2021-05-25' 10800.0 334120.0]
1237	['2021-05-26' 10900.0 334120.0]
1238	['2021-05-27' 10800.0 334120.0]
1239	['2021-05-28' 10900.0 352470.0]
1240	['2021-05-29' 10900.0 352470.0]
1241	['2021-05-30' 10900.0 352470.0]
1242	['2021-05-31' 10900.0 352470.0]
1243	['2021-06-01' 10950.0 352470.0]
1244	['2021-06-02' 11050.0 352470.0]
1245	['2021-06-03' 11350.0 352470.0]
1246	['2021-06-04' 11250.0 353570.0]
1247	['2021-06-05' 11250.0 353570.0]
1248	['2021-06-06' 11250.0 353570.0]
1249	['2021-06-07' 11300.0 353570.0]
1250	['2021-06-08' 11100.0 353570.0]
1251	['2021-06-09' 11050.0 353570.0]
1252	['2021-06-10' 11150.0 353570.0]
1253	['2021-06-11' 11000.0 364970.0]
1254	['2021-06-12' 11000.0 364970.0]
1255	['2021-06-13' 11000.0 364970.0]
